Component,CumulativeVariance
1,0.15806693684738238
2,0.24370298241830401
3,0.2852910895775999
4,0.3214772099732239
5,0.3496898135421886
6,0.3742776500070858
7,0.3976166714299686
8,0.41654763150522506
9,0.43068508078023454
10,0.44451514894134986
11,0.4572991898997443
12,0.46887461996625934
13,0.4800137985562013
14,0.4899583416788131
15,0.49925692563956386
16,0.508230679338736
17,0.5170712687636265
18,0.5256569168070642
19,0.5338195576379691
20,0.5418210593552931
21,0.5494219381455703
22,0.5568604539214173
23,0.5640813837464097
24,0.5707837532115818
25,0.5774022585485709
26,0.5838091945278647
27,0.5900967235790174
28,0.5961202549230881
29,0.6020292406469421
30,0.6078214386498708
31,0.613492336231409
32,0.6191387789542242
33,0.6246331637666964
34,0.6299907511455015
35,0.6352802254568598
36,0.6403965124543202
37,0.6453692401275479
38,0.6503031818104509
39,0.6550410193044366
40,0.6596860492689594
41,0.6643161576739578
42,0.6687408044407878
43,0.6730999798713939
44,0.6773931650448318
45,0.6815871973649392
46,0.6857511514924082
47,0.6898549634898739
48,0.6938180709094977
49,0.6977376090397466
50,0.7016196648065782
51,0.7054496943080861
52,0.7091474635372953
53,0.7127637838849821
54,0.7163165776383386
55,0.719809145591693
56,0.7232911065100207
57,0.7267368689850691
58,0.7301373032688431
59,0.7335066006018399
60,0.7368137546191275
61,0.7400865051896137
62,0.7433361519619485
63,0.7465214879885272
64,0.7496796477924733
65,0.7527868944884961
66,0.755882853070691
67,0.7589162026865427
68,0.7618684936537575
69,0.7647561923426371
70,0.7676265971245685
71,0.7704653012740584
72,0.773235393820935
73,0.7759864995148333
74,0.7786840724390385
75,0.7813485231693345
76,0.7839915950009319
77,0.7866186521516343
78,0.7892030086670261
79,0.7917686913996114
80,0.7942988680399296
81,0.7968082232320152
82,0.7992767851960273
83,0.8017078603567023
84,0.8041128344419977
85,0.8064583506387664
86,0.8087801473218917
87,0.8110860240673679
88,0.8133566763491975
89,0.8155919426386213
90,0.8178081416785142
91,0.8199877704857205
92,0.8221438039208308
93,0.8242851854519727
94,0.8263858041744737
95,0.8284700782629616
96,0.8305526747635873
97,0.8325872731143458
98,0.8346166497954634
99,0.8365986239604692
100,0.8385720637516565
101,0.8405355420519712
102,0.842472945708603
103,0.8443808425073658
104,0.846272658656604
105,0.8481332418207107
106,0.8499587051250053
107,0.8517616974596699
108,0.8535434241909947
109,0.8552961981987867
110,0.8570360616523948
111,0.858772519709773
112,0.8604987188791221
113,0.8621900600727773
114,0.8638691925594669
115,0.8655328510650105
116,0.8671764054578104
117,0.8687943878325541
118,0.8703988883530976
119,0.8719838964486699
120,0.873538575659783
121,0.875078390982422
122,0.8766065880831287
123,0.8781268009858391
124,0.8796216250566475
125,0.8811023134433726
126,0.8825678834662293
